NCH_SYMBOL, NCH_PREV_NAME, NCH_NEW_NAME, NCH_DT
KOTAKBANK,Kotak Mahindra Finance Ltd.,Kotak Mahindra Bank Limited,21-APR-2003
KPIT,KPIT Cummins Infosystems Limited,KPIT Technologies Limited,19-SEP-2013
KREBSBIO,Krebs Biochemicals Limited,Krebs Biochemicals and Industries Limited,27-OCT-2016
KSERASERA,K Sera Sera Limited,KSS Limited,01-MAR-2013
KWALITY,Kwality Dairy (India) Limited,kwality limited,10-OCT-2013
LEEL,Lloyd Electric & Engineering Limited,LEEL Electricals Limited,19-JUN-2017
LICMFC4D,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-DPO,LIC MF - LIC MF CPOF Sr 4 - RP-DPO,08-JUL-2016
LICMFC4G,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - RP-GO,LIC MF - LIC MF CPOF Sr 4 - RP-GO,08-JUL-2016
LICMFC4G1,LIC NOMURA MF - LIC Nomura MF CPOF Sr 4 - DP-GO,LIC MF - LIC MF CPOF Sr 4 - DP-GO,08-JUL-2016
LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO,LIC MF - LIC MF G-sec LT ETF - GO,08-JUL-2016
LICNETFN50,LIC NOMURA MF - LIC NOMURA MF EXCHANGE TRADED FUND - NIFTY 50,LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,08-JUL-2016
LICNETFSEN,LIC NOMURA Mutual Fund - LIC NOMURA MF EXCHANGE TRADED FUND - SENSEX,LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,08-JUL-2016
LICNFA1D1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - DPO,LIC MF - LIC MF DAFTP - S 1 - DP - DPO,08-JUL-2016
LICNFA1DP,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - RP - DPO,LIC MF - LIC MF DAFTP - S 1 - RP - DPO,08-JUL-2016
LICNFA1G1,LIC NOMURA MF - LIC Nomura MF DAFTP - S 1 - DP - GO,LIC MF - LIC MF DAFTP - S 1 - DP - GO,08-JUL-2016
LICNFA2D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-DPO,08-JUL-2016
LICNFA2DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-DPO,08-JUL-2016
LICNFA2G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - DP-GO,08-JUL-2016
LICNFA2GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 2 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 2 - RP-GO,08-JUL-2016
LICNFA3D1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-DPO,08-JUL-2016
LICNFA3DP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-DPO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-DPO,08-JUL-2016
LICNFA3G1,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - DP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - DP-GO,08-JUL-2016
LICNFA3GP,LIC NOMURA MF - LIC Nomura MF Dual Adv FTP Sr 3 - RP-GO,LIC MF - LIC MF Dual Adv FTP Sr 3 - RP-GO,08-JUL-2016
LICNFC1D1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - Di -DP,LIC MF- LIC MF CPOF Sr 1 - Di -DP,08-JUL-2016
LICNFC1DP, LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 -RP- DP, LIC MF - LIC MF CPOF Sr 1 -RP- DP,08-JUL-2016
LICNFC1G1,LIC NOMURA MF- LIC Nomura MF CPOF Sr 1 - DP - G,LIC MF- LIC MF CPOF Sr 1 - DP - G,08-JUL-2016
LICNFC1GP, LIC NOMURA MF - LIC Nomura MF CPOF Sr 1 - RP - G, LIC MF - LIC MF CPOF Sr 1 - RP - G,08-JUL-2016
LICNFC2D1D,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2DPD,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2G1G,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC2GPG,LIC NOMURA Mutual Fund - LIC NOMURA Mutual Fund Capital Protection Ori,LIC Mutual Fund - LIC Mutual Fund Capital Protection Ori,08-JUL-2016
LICNFC3D1D,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-DPO,08-JUL-2016
LICNFC3DPD,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-DPO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-DPO,08-JUL-2016
LICNFC3G1G,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - DP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - DP-GO,08-JUL-2016
LICNFC3GPG,LIC NOMURA Mutual Fund - LIC Nomura MF CPOF Series 3 - RP-GO,LIC Mutual Fund - LIC MF CPOF Series 3 - RP-GO,08-JUL-2016
LICNFC5D,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-DPO,LIC MF - LIC MF CPOF - Sr 5 - RP-DPO,08-JUL-2016
LICNFC5D1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-DPO,LIC MF - LIC MF CPOF - Sr 5 - DP-DPO,08-JUL-2016
LICNFC5G,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - RP-GO,LIC MF - LIC MF CPOF - Sr 5 - RP-GO,08-JUL-2016
LICNFC5G1,LIC NOMURA MF - LIC Nomura MF CPOF - Sr 5 - DP-GO,LIC MF - LIC MF CPOF - Sr 5 - DP-GO,08-JUL-2016
LICNFD1D,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Reg. Pl. Div. Pay.,08-JUL-2016
LICNFD1D1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Div. Pay.,08-JUL-2016
LICNFD1G,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1  Reg. Pl. Growth,08-JUL-2016
LICNFD1G1,LIC NOMURA MF - LIC NOMURA MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,LIC MF - LIC MF DIV EQ FUND Sr. 1 Dir. Pl. Growth,08-JUL-2016
LICNFD2D,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-DPO,LIC MF - LIC MF DEF Series 2 - RP-DPO,08-JUL-2016
LICNFD2D1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-DPO,LIC MF - LIC MF DEF Series 2 - DP-DPO,08-JUL-2016
LICNFD2G,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - RP-GO,LIC MF - LIC MF DEF Series 2 - RP-GO,08-JUL-2016
LICNFD2G1,LIC NOMURA MF - LIC NOMURA MF DEF Series 2 - DP-GO,LIC MF - LIC MF DEF Series 2 - DP-GO,08-JUL-2016
LICNFE9D,LIC NOMURA MF - FMP Series 89 - Regular Dividend,LIC MF - FMP Series 89 - Regular Dividend,08-JUL-2016
LICNFE9G,LIC NOMURA MF - FMP Series 89 - Regular Growth,LIC MF - FMP Series 89 - Regular Growth,08-JUL-2016
LICNFE9G1,LIC NOMURA MF - FMP Series 89 - Direct Growth,LIC MF - FMP Series 89 - Direct Growth,08-JUL-2016
LICNFER2G,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - RP - GO,LIC MF - LICMF - FMP -  Sr 82 - RP - GO,08-JUL-2016
LICNFER2G1,LIC NOMURA MF - LICNMF - FMP -  Sr 82 - DP - GO,LIC MF - LICMF - FMP -  Sr 82 - DP - GO,08-JUL-2016
LICNFER3G,LIC NOMURA MF - LICNMF - FMP - S 83 - RP - GO,LIC MF - LICMF - FMP - S 83 - RP - GO,08-JUL-2016
LICNFER3G1,LIC NOMURA MF - LICNMF - FMP - S 83 - DP - GO,LIC MF - LICMF - FMP - S 83 - DP - GO,08-JUL-2016
LICNFER6D,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - DPO,LIC MFund - LIC MF FMP - S 86 - RP - DPO,08-JUL-2016
LICNFER6G,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - RP - GO,LIC MFund - LIC MF FMP - S 86 - RP - GO,08-JUL-2016
LICNFER6G1,LIC NOMURA MFund - LIC Nomura MF FMP - S 86 - DP - GO,LIC MFund - LIC MF FMP - S 86 - DP - GO,08-JUL-2016
LICNFLR2D,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - DPO,LIC MF - LIC MF FMP -  S 72 - RP - DPO,08-JUL-2016
LICNFLR2D1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - DPO,LIC MF - LIC MF FMP -  S 72 - DP - DPO,08-JUL-2016
LICNFLR2G,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - RP - GO,LIC MF - LIC MF FMP -  S 72 - RP - GO,08-JUL-2016
LICNFLR2G1,LIC NOMURA MF - LIC NOMURA MF FMP -  S 72 - DP - GO,LIC MF - LIC MF FMP -  S 72 - DP - GO,08-JUL-2016
LICNFN0D,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-DPO,LIC MF - LIC MF FMP Series 90 - RP-DPO,08-JUL-2016
LICNFN0D1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-DPO,LIC MF - LIC MF FMP Series 90 - DP-DPO,08-JUL-2016
LICNFN0G,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - RP-GO,LIC MF - LIC MF FMP Series 90 - RP-GO,08-JUL-2016
LICNFN0G1,LIC NOMURA MF - LIC Nomura MF FMP Series 90 - DP-GO,LIC MF - LIC MF FMP Series 90 - DP-GO,08-JUL-2016
LICNFN2D,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-DPO,LIC MF - LIC MF FMP Series 92 - RP-DPO,08-JUL-2016
LICNFN2G,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - RP-GO,LIC MF - LIC MF FMP Series 92 - RP-GO,08-JUL-2016
LICNFN2G1,LIC NOMURA MF - LIC Nomura MF FMP Series 92 - DP-GO,LIC MF - LIC MF FMP Series 92 - DP-GO,08-JUL-2016
LICNFNHGP,LIC NOMURA MF - LIC NOMURA MF ETF - Nifty 100,LIC MF - LIC MF ETF - Nifty 100,08-JUL-2016
LICNFR2D1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - DP-DPO (Op B),08-JUL-2016
LICNFR2DP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-DPO (Op B),LIC MF - LIC RGESS Fund Sr 2 - RP-DPO (Op B),08-JUL-2016
LICNFR2G1,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - DP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - DP-GO (Op A),08-JUL-2016
LICNFR2GP,LIC NOMURA MF - LIC NOMURA RGESS Fund Sr 2 - RP-GO (Op A),LIC MF - LIC RGESS Fund Sr 2 - RP-GO (Op A),08-JUL-2016
LICNFR3D,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-DPO  Regular,08-JUL-2016
LICNFR3D1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-DPO  Direct -,08-JUL-2016
LICNFR3G,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - RP-GO  Regular P,08-JUL-2016
LICNFR3G1,LIC NOMURA MF - LIC Nomura MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,LIC MF - LIC MF Rajiv Gandhi ESS Sr 3 - DP-GO  Direct Pl,08-JUL-2016
LICNMF46D,LIC Mutual Fund - LIC MF FMP - Series 46 - Dividend payout,LIC NOMURA MF FMP - Series 46 - Dividend payout,13-JUL-2011
LICNMF46G,LIC Mutual Fund - LIC MF FMP - Series 46 - Growth,LIC NOMURA MF FMP - Series 46 - Growth,13-JUL-2011
LINDEINDIA,BOC India Limited,Linde India Limited,10-APR-2013
LIQUIDBEES,R*Shares Liquid BeES,Reliance ETF Liquid BeES,31-MAR-2017
LOTTEINDIA,Parrys Confectionery Ltd.,Lotte India Corporation Limited,17-DEC-2004
LTFMPS6ED,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE- DP,L&T Fixed Maturiy Plan Series - VI Plan F,14-JAN-2013
LTFMPS6EG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- PlanE-Growth,L&T Fixed Maturity Plane Series - VI Plan E,14-JAN-2013
LTFMPS6FG,Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI-Plan F-Growth,L&T Fixed Maturity Plan Series - VI Plan F,14-FEB-2013
MAANALU,Man Aluminium Limited,Maan Aluminium Limited,16-MAR-2011
MADURACOAT,Coats Viyella India Ltd,Madura Coats Limited,14-JUL-1998
MAGMA,Magma Shrachi Finance Limited,Magma Fincorp Limited,01-SEP-2008
MAHAINTL,Maharaja International Ltd,Electrolux Kelvinator Limited,11-AUG-1999
MAHENDSUIT,Mahendra Suitings Ltd,Mahendra Petrochemicals Limited,01-DEC-1998
MAHINDCIE,Mahindra Forgings Limited,Mahindra CIE Automotive Limited,17-DEC-2013
MAHLIFE,Mahindra Gesco Developers Limited,Mahindra Lifespace Developers Limited,23-NOV-2007
MANALIPETC,Manali Petrochemical Limited,Manali Petrochemicals Limited,29-NOV-2011
MANAPPURAM,Manappuram General Finance & Leasing Limited,Manappuram Finance Limited,08-AUG-2011
MANINDS,MAN ALUMINIUM LTD.,Man Industries (India) Limited,04-JUL-1996
MARICO,Marico Industries Ltd.,Marico Limited,14-JUN-2005
MARKSANS,Tasc Pharmaceuticals Limited,Marksans Pharma Limited,14-NOV-2005
MARNITPOLY,Marnite Polycast Ltd,MPL Corporation Limited,23-JUN-1998
MARUTI,Maruti Udyog Limited,Maruti Suzuki India Limited,29-OCT-2007
MCDOWELL-N,Mcdowell & Company Limited,United Spirits Limited,27-DEC-2006
MERCATOR,Mercator Lines Limited,Mercator Limited,08-DEC-2011
MERCK,E.Merck (India) Ltd,Merck Limited,05-NOV-2007
METALFORGE,Ahmednagar Forgings Limited,Metalyst Forgings Limited,01-JUN-2015
METAZINC,Metazinc (I) Ltd,MTZ (India) Limited,26-NOV-1997
METKORE,Cronimet Alloys India Limited,Metkore Alloys & Industries Limited,02-APR-2012
MFSL,Max India Limited,Max Financial Services Limited,26-FEB-2016
MICRO,Hindustan Inks And Resins Ltd,Micro Inks Limited,26-MAR-2004
MIDCAPIWIN,ICICI Prudential Mutual Fund - ICICI Prudential Midcap ETF,ICICI Prudential Midcap Select iWIN ETF,25-JUL-2016
MINDTREE,MindTree Consulting Limited,MindTree Limited,06-MAY-2008
MIRZAINT,Mirza Tanners Ltd.,Mirza International Limited,05-JUL-2006
MODERNWOOL,Modern Woollens Ltd.,Modern Terry Towels Limited,26-JUN-1996
MODITHREAD,MODI THREADS LTD.,MODI TELEFIBERS LTD.,05-JUL-1996
MODITHREAD,MODI THREADS LTD.,Modi Telefibers Limited,05-JUL-1996
MONNETISPA,Monnet Ispat Limited,Monnet Ispat and Energy Limited,15-MAY-2012
MONSANTO,Monsanto Chemicals Of India Ltd.,Monsanto India Limited,02-AUG-2000
MPHASIS,Mphasis BFL Limited,MphasiS Limited,26-DEC-2006
MPSLTD,Macmillan India Limited,MPS Limited,11-SEP-2009
MRO-TEK,MRO-TEK Limited,MRO-TEK Realty Limited,25-JAN-2017
NAHARPOLY,Nahar Investments and Holding Limited,Nahar Poly Films Limited,15-JUN-2011
NARMADASUG,Narmada Sugar Ltd,Girdharilal Sugar and Allied Industries Limited,18-AUG-1998
NATNLSTEEL,National Steel Industries Ltd,National Steel And Agro Industries Limited,26-SEP-2002
NAVNETEDUL,Navneet Publications India Limited,Navneet Education Limited,19-SEP-2013
NBCC,National Buildings Construction Corporation Limited,NBCC (INDIA) LIMITED,07-JUN-2016
NBVENTURES,Nava Bharat Ferro Alloys Ltd,Nava Bharat Ventures Limited,31-JUL-2006
NCC,Nagarjuna Construction Company Limited,NCC Limited,15-MAR-2011
NDL,Nandan Exim Limited,Nandan Denim Limited,21-NOV-2013
NELCO,National Radio & Electric Co. Ltd,NELCO LTD,14-MAR-2001
NEPCMICON,NEPC-Micon Ltd,NEPC India Limited,25-JUN-1997
NETVISTAIT,Kraft Industries Ltd.,Netvista Information Technology Ltd,11-MAY-1999
NETVISTAIT,Kraft Industries Ltd.,Netvista Information Technology Limited,11-MAY-1999
NETWORK18,Network 18 Fincap Limited,Network18 Media & Investments Limited,13-JAN-2010
NEXTMEDIA,Mid-Day Multimedia Limited,Next Mediaworks Limited,15-JUN-2011
NIF100IWIN,ICICI Prudential Nifty 100 ETF,ICICI Prudential Nifty 100 iWIN ETF,25-JUL-2016
NIFTYBEES,R*Shares Nifty BeES,Reliance ETF Nifty BeES,31-MAR-2017
NIFTYEES,Edelweiss MF - Edelweiss ETS - Nifty (Nifty EES),Edelweiss ETF - Nifty 50,16-FEB-2016
NIFTYIWIN,ICICI Prudential Nifty ETF,ICICI Prudential Nifty iWIN ETF,25-JUL-2016
NILKAMAL,Nilkamal Plastics Ltd,Nilkamal Limited,05-JAN-2007
NIPPOBATRY,Nippo Batteries Company Limited,Indo-National Limited,18-JUN-2013
NIPPONDENR,Nippon Denro Ispat Ltd.,Ispat Industries Limited,25-SEP-1996
NIPPONDENS,Nippondenso India Ltd,Denso India Limited,09-JUL-1997
NITCO,Nitco Tiles Limited,Nitco Limited,25-AUG-2008
NIYATILEAS,NIYATI LEASING LTD,Niyati Industries Limited,15-APR-1997
NLCINDIA,Neyveli Lignite Corporation Limited,NLC India Limited,04-AUG-2016
NOCIL,National Organic Chemical Industries Ltd.,NOCIL Limited,06-DEC-2007
NOESISIND,MVL Industries Limited,Noesis Industries Limited,04-JUN-2014
NSIL,Jindal Strips Limited,Nalwa Sons Investments Limited,07-JUN-2005
NTL,Sujana Tower Limited,Neueon Towers Limited,17-FEB-2017
NTPC,National Thermal Power Corporation Limited,NTPC Limited,29-NOV-2005
NUCENTFIN,Pressman Ltd,NuCent Finance Limited,23-JUN-1999
NV20IWIN,ICICI Prudential Mutual Fund - ICICI Prudential NV20 ETF,ICICI Prudential NV20 iWIN ETF,25-JUL-2016
OCL,ORISSA CEMENT LTD,OCL India Limited,04-JUL-1996
OENCONNECT,Framatome Connectors OEN Limited,FCI OEN Connectors Limited,25-JUL-2002
OFSS,I-Flex Solutions Limited,Oracle Financial Services Software Limited,18-SEP-2008
ONGC,Oil & Natural Gas Corpn Limited,Oil & Natural Gas Corporation Limited,23-SEP-2010
ORCHIDPHAR,Orchid Chemicals & Pharmaceuticals Limited,Orchid Pharma Limited,21-DEC-2015
ORIENTBELL,Orient Ceramics and Industries Limited,Orient Bell Limited,17-APR-2012
PADMINPOLY,Padmini Polymers Ltd,Padmini Technologies Limited,05-JUL-2000
PAEL,Premier Auto Electric  Ltd,PAE Limited,23-NOV-2005
PALRED,Four Soft Limited,Palred Technologies Limited,16-JAN-2014
PANASONIC,Panasonic Home Appliances India Company Limited,Panasonic Appliances India Company Limited,29-AUG-2012
PAPERPROD,The Paper Products Limited,Huhtamaki PPL Limited,06-AUG-2014
PARRYSUGAR,GMR Industries Limited,Parrys Sugar Industries Limited,02-DEC-2010
PAVCI,Matsushita Television & Audio Ltd,Panasonic AVC Networks India Company Limited.,12-MAR-2004
PBAINFRA,PBA Infrstructure Limited,PBA Infrastructure Limited,25-NOV-2005
PDUMJEIND,Pudumjee Agro Industries Ltd,Pudumjee Industries Limited,28-MAR-2008
PEL,Piramal Healthcare Limited,Piramal Enterprises Limited,21-SEP-2012
PENAPATSEC,Pennar Patterson Securities Ltd,Pennar Paterson Limited,28-MAR-2001
PENARSTEEL,Pennar Steels Ltd,Pennar Industries Limited,11-AUG-1999
PENINLAND,Morarjee Realties Limited,Peninsula Land Limited,09-JUN-2006
PENTACOMMU,Pentafour Communication Limited,Pentasoft Technologies Limited,16-FEB-2000
PENTSFWARE,Pentafour Software & Exports Ltd,Pentamedia Graphics Limited,01-FEB-2000
PETRONENGG,Petron Engineering Cosntruction Ltd,Petron Engineering Construction Limited,10-OCT-2006
PGHH,Procter & Gamble India Ltd.,Procter & Gamble Hygiene and Health Care Limited,07-JUL-2004
PGIL,House of Pearl Fashions Limited,Pearl Global Industries Limited,02-JUL-2012
PHARMACIA,Abbott Laboratories Ltd.,Pharmacia Healthcare Limited,24-MAR-2003
PHOENIXLL,Halonix Limited,Phoenix Lamps Limited,30-OCT-2013
PILITA,Peacock Industries Limited,PIL ITALICA LIFESTYLE LIMITED,03-SEP-2015
PIRAMHELTH,Piramal Healthcare Ltd,Piramal Holdings Limited,10-SEP-1997
PIRGLASS,Gujarat Glass Limited,Piramal Glass Limited,12-MAY-2008
PIRPHYTO,Piramal Life Sciences Limited,Piramal Phytocare Limited,23-OCT-2013
POLARIS,Polaris Financial Technology Limited,POLARIS CONSULTING & SERVICES LIMITED,02-DEC-2014
PPAP,Precision Pipes And Profiles Company Limited,PPAP Automotive Limited,01-AUG-2014
PRASGLOFIN,PRASHANT GLOBAL FINANCE LIMITED,Silicon Valley Infotech Limited,17-JUN-1998
PRECOT,Precot Mills Ltd,Precot Meridian Limited,01-NOV-2006
PREMIER,Premier Automobiles Ltd.,Premier Limited,14-JUN-2005
PRESSMN,Nucent Finance Limited,Pressman Advertising Limited,11-SEP-2013
PRICOL,Premier Instruments And Controls Ltd,Pricol Limited,16-AUG-2005
PRIYADYES,Priya Dyes & Chemicals Ltd.,Priya Limited,28-MAR-2001
PROZONINTU,Prozone Capital Shopping Centres Limited,Prozone Intu Properties Limited,07-OCT-2014
PRUDMOULI,Prudential Mouli Sugars Ltd,Prudential Sugar Corporation Limited,30-JAN-1997
PSL,PSL Holdings Ltd,PSL Limited,19-MAY-2003
PSUBNKBEES,R*Shares PSU Bank BeES,Reliance ETF PSU Bank BeES,31-MAR-2017
PTC,Power Trading Corporation of India Limited,PTC India Limited,30-AUG-2004
PUNJABCHEM,Punjab Chemicals & Pharmaceuticals Ltd.,Punjab Chemicals & Crop Protection Limited,08-MAR-2007
PURVA,Puravankara Projects Limited,Puravankara Limited,10-JAN-2017
PVP,SSI Ltd.,PVP Ventures Limited,23-JUN-2008
QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF),Quantum Nifty ETF,13-JUN-2017
QUINTEGRA,Soffia Software Limited,Quintegra Solutions Limited,05-MAR-2004
RAIN,Rain Commodities  Limited,Rain Industries Limited,23-AUG-2013
RAJRAYON,Raj Rayon Limited,Raj Rayon Industries Limited,14-SEP-2010
RAMANEWS,Rama Newsprint and Papers Limited,Shree Rama Newsprint Limited,18-JUN-2013
RAMCOCEM,Madras Cements Limited,The Ramco Cements Limited,30-SEP-2013
RANEHOLDIN,Rane (madras) Ltd.,Rane Holdings Limited,12-AUG-2005
RANKAQUA,Rank Aqua Ltd,Rank Industries Limited,09-JUL-1997
RASLAMIPAK,Ras KMK Lamipak Ltd,Ras Propack Lamipack Limited,14-FEB-1997
RAYMONDSYN,Raymond Synthetics Ltd.,Recron Synthetics Limited,22-MAR-2001
RBN,Reliance Media World Limited,Reliance Broadcast Network Limited,20-AUG-2010
RCOM,Reliance Communication Ventures Limited,Reliance Communications Limited,30-JUN-2006
RCPOFSR1,Religare Mutual Fund - Religare CPOF - Series I,Religare Invesco Capital Protection Oriented Fund - Series I,04-JUL-2013
RDEL,Pipavav Defence and Offshore Engineering Company Limited,Reliance Defence and Engineering Limited,22-MAR-2016
RECKCOLMAN,Reckitt & Colman India Ltd.,Reckitt Benckiser (India) Limited,21-FEB-2001
REFEX,Refex Refrigerants Limited,Refex Industries Limited,02-DEC-2014
RELBANK,R* Shares Banking Exchange Traded Fund,R* Shares Banking ETF,17-JAN-2013
RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund,Reliance ETF Nifty 100,31-MAR-2017
RELCONS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND,Reliance ETF Consumption,31-MAR-2017
RELDIVOPP,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF,Reliance ETF Dividend Opportunities,31-MAR-2017
RELGOLD,R* Shares Gold Exchange Traded Fund,R* Shares Gold ETF,17-JAN-2013
RELINFRA,Reliance Energy Limited,Reliance Infrastructure Limited,16-MAY-2008
RELMEDIA,Adlabs Films Limited,Reliance MediaWorks Limited,20-OCT-2009
RELNV20,Reliance Mutual Fund - R*Shares NV20 ETF,Reliance ETF NV20,31-MAR-2017
RINKIPETRO,Rinki Petrochemicals & Industries Limited,MOTOROL ENTERPRISES LIMITED,04-OCT-2000
RMFFM17ADG,Religare MF - Religare FMP - SXVII - Plan A - DG,Religare Invesco FMP - Series 17- Plan A - Growth,04-JUL-2013
RMFFM17ARG,Religare MF - Religare FMP - SXVII - Plan A - Grw,Religare Invesco FMP - Series 17- Plan A - Direct Plan  - Growth,04-JUL-2013
RMFFM17BDG,Religare MF - Religare FMP - SXVII - Plan B - DG,Religare Invesco FMP - Series 17- Plan B - Direct Plan  - Growth,04-JUL-2013
RMFFM17BRD,Religare MF - Religare FMP - SXVII - Plan B - DP,Religare Invesco FMP - Series 17- Plan B - Dividend,04-JUL-2013
RMFFM17BRG,Religare MF - Religare FMP - SXVII - Plan B - Grw,Religare Invesco FMP - Series 17- Plan B - Growth,04-JUL-2013
RMFFM17DDG,Religare MF - Religare FMP SXVII Plan D - DG,Religare Invesco FMP - Series 17- Plan D - Direct Plan  - Growth,04-JUL-2013
RMFFM17DRD,Religare MF - Religare FMP SXVII Plan D - DP,Religare Invesco FMP - Series 17- Plan D - Dividend,04-JUL-2013
RMFFM17DRG,Religare MF - Religare FMP SXVII Plan D - Grw,Religare Invesco FMP - Series 17- Plan D - Growth,04-JUL-2013
RMFFM17EDG,Religare MF - Religare FMP Ser XVII Plan E - Dir. DP,Religare Invesco FMP - Series 17- Plan E - Direct Plan  - Growth,04-JUL-2013
RMFFM17ERD,Religare MF - Religare FMP Ser XVII Plan E - DP,Religare Invesco FMP - Series 17- Plan E - Dividend,04-JUL-2013
RMFFM17ERG,Religare MF - Religare FMP Ser XVII Plan E - Grw,Religare Invesco FMP - Series 17- Plan E - Growth,04-JUL-2013
RMFFM17FDG,Religare MF - Religare FMP SXVII Plan F - DG,Religare Invesco FMP - Series 17- Plan F - Direct Plan - Growth,04-JUL-2013
